Rank,leagueId,leagueName,seasonId,seasonName,seasonNameLong,leagueNameLong,gameId,Date,teamId,Home,Away,Win,Loss,Draw,Team,abbrevName,opponentId,opponentToken,opponent,opponentTeamImageId,Result,Manager,TouchOpBox,Toques Tercio Rival P90,Recuperaciones entre 5 segundos %,Recuperaciones entre 10 segundos %,RcvryM3,RcvryD3,RcvryA3,ProgPass,ProgCarry,Poss% Campo Rival,Poss% Campo Defensivo,Poss% Campo Def (Equipo),LBPOwnHalf,LBPIntoA3,LBP Mid Line,LBP Def Line,LBP,KeyPassPer90,juego interior,HighTOEndGoal,HighPrsrPerOppTchD3,HighPrsrBWOppHfLft,HighPrsrBWOppHfRght,HighPrsrBWToShot10s,HighPrsrAppD3,HighPrsrAppOwnHalf,HighPrsrAppOppHalf,HighPrsrAppM3,HighPrsrAppA3,HighPrsrApp,GoalKick,GolCarrilCentral,GolBanIZQ,GolBanDER,FwdPass%,FwdPass,ExpG,Duelos ganados ctl,Duelos Def,ConduccProg,centros 3_4 izq,centros 3_4 der,CarryPass,AvgPossWidth,1v1/90,%TeamPropHighPrsr,% Attack through Left Flank,% Attack through Middle,% Attack through Right Flank,AvgWP,AvgPossTime,%PassFwd,ShtIncBl,Crosses,BgChnc
11,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),2wafcyp42h9q6jqi5chgfl3x0,2026-03-14 13:00:00,7h7eg7q7dbwvzww78h9d5eh0h,true,false,true,false,false,GIR,GIR,3czravw89omgc9o4s0w3l1bg5,ATH,ATH,174,W 3-0,Míchel Sánchez,35,131.00,18.2%,27.3%,16,25,1,53,67,39.4%,52.9%,63.7%,33,20,61,2,61,9.00,69,0,55.0%,5,6,0,126,185,129,119,69,314,10,2,0,1,31.8%,160,1.75,53.7%,21,25,0,0,330,33.9,15.00,-,25.0%,17.9%,10.7%,75.3%,22.1,31.8%,14,5,3
12,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),2p5lebd6sut2o58yyixozunmc,2026-03-07 15:15:00,7h7eg7q7dbwvzww78h9d5eh0h,false,true,false,false,true,GIR,GIR,4grc9qgcvusllap8h5j6gc5h5,LEV,LEV,855,D 1-1,Míchel Sánchez,17,284.00,43.9%,48.8%,19,21,4,86,100,78.8%,51.4%,36.5%,24,33,90,13,90,19.00,162,0,42.5%,6,12,0,37,80,129,77,95,209,8,1,0,0,27.3%,170,1.95,57.4%,24,31,7,8,564,32.5,14.00,-,11.6%,2.3%,11.6%,22.5%,31.5,27.3%,22,33,3
13,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),2lrcyrg6x6b1wz9q1xeyggkyc,2026-03-01 20:00:00,7h7eg7q7dbwvzww78h9d5eh0h,true,false,false,true,false,GIR,GIR,6f27yvbqcngegwsg2ozxxdj4,CEL,CEL,176,L 1-2,Míchel Sánchez,16,260.00,35.3%,44.1%,19,19,1,52,93,61.1%,52.1%,43.7%,48,26,117,9,117,12.00,116,0,46.8%,10,5,0,65,136,112,117,66,248,2,1,0,0,25.4%,157,1.37,62.9%,20,28,1,2,513,36.5,16.00,-,15.2%,12.1%,6.1%,39.5%,36.9,25.4%,15,29,2
14,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),2j5gbrfdr52r652taci2oin84,2026-02-23 20:00:00,7h7eg7q7dbwvzww78h9d5eh0h,false,true,false,false,true,GIR,GIR,4dtdjgnpdq9uw4sdutti0vaar,ALA,ALA,173,D 2-2,Míchel Sánchez,28,239.00,28.6%,40.0%,21,21,1,61,82,61.8%,50.1%,48.2%,37,16,66,2,66,7.00,70,0,48.9%,12,3,0,69,126,149,130,76,275,11,2,0,0,31.0%,168,2.30,62.3%,32,33,1,0,420,39.7,28.00,-,22.6%,9.7%,6.5%,33.9%,28.7,31.0%,10,11,2
15,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),2elfffvt87h2apmhh2c0et3pw,2026-02-16 20:00:00,7h7eg7q7dbwvzww78h9d5eh0h,true,false,true,false,false,GIR,GIR,agh9ifb2mw3ivjusgedj7c3fe,BAR,BAR,178,W 2-1,Míchel Sánchez,58,105.00,20.7%,20.7%,18,23,1,34,55,19.6%,39.9%,66.2%,26,11,38,9,38,9.00,20,1,50.5%,4,2,0,143,240,127,158,66,367,9,2,0,0,39.3%,121,2.86,56.5%,32,22,1,0,209,37.6,22.00,-,28.0%,12.0%,16.0%,29.0%,18.6,39.3%,13,13,5
16,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),2b7m8c3nipodfdjjb4e6akqok,2026-02-08 15:15:00,7h7eg7q7dbwvzww78h9d5eh0h,false,true,false,false,true,GIR,GIR,10eyb18v5puw4ez03ocaug09m,SEV,SEV,179,D 1-1,Míchel Sánchez,18,145.00,34.6%,42.3%,15,15,3,36,66,39.7%,56.2%,60.1%,30,10,38,2,38,11.00,51,0,55.1%,5,4,0,102,162,103,116,47,265,8,1,0,0,32.3%,136,2.56,55.7%,31,27,1,2,319,33.7,27.00,-,24.0%,16.0%,12.0%,71.0%,29.7,32.3%,15,12,4
17,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),27fpawpnvii11w6oxcgm7a80k,2026-01-31 13:00:00,7h7eg7q7dbwvzww78h9d5eh0h,false,true,false,true,false,GIR,GIR,clo928vcczjp0mczavs5o7p5k,OVI,OVI,187,L 0-1,Míchel Sánchez,14,166.00,30.3%,39.4%,18,21,5,52,105,62.4%,68.0%,61.1%,45,15,73,5,73,7.00,60,0,59.6%,3,3,0,62,108,97,90,53,205,3,0,0,0,26.8%,155,0.65,61.8%,34,29,1,2,476,33.7,27.00,-,8.8%,2.9%,11.8%,30.1%,31.0,26.8%,9,18,2
18,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),23c7lgceh27fdelyfo5a4ygwk,2026-01-26 20:00:00,7h7eg7q7dbwvzww78h9d5eh0h,true,false,false,false,true,GIR,GIR,1n1j0wsl763lq7ee1k0c11c02,GET,GET,1450,D 1-1,Míchel Sánchez,15,241.00,35.9%,43.6%,22,24,2,79,127,74.3%,62.4%,42.8%,18,16,58,6,58,8.00,71,0,64.3%,6,9,0,54,117,120,112,71,237,4,1,0,0,26.6%,162,0.74,50.8%,36,55,2,3,496,33.1,22.00,-,13.3%,4.4%,20.0%,34.0%,30.6,26.6%,12,24,1
19,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),226m1xys6v816jac3sck3d3is,2026-01-16 20:00:00,7h7eg7q7dbwvzww78h9d5eh0h,false,true,true,false,false,GIR,GIR,c8llrezkm3b3op4afrou6b487,ESP,ESP,177,W 2-0,Míchel Sánchez,21,114.00,35.3%,41.2%,20,24,3,36,72,45.8%,54.0%,62.7%,27,8,44,3,44,4.00,29,0,28.1%,6,2,0,43,72,87,71,45,159,12,2,0,0,30.8%,131,1.95,51.3%,35,27,1,0,300,37.6,28.00,-,25.0%,10.0%,15.0%,58.0%,27.8,30.8%,7,13,2
20,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),1ydvgoo74zv2bvij485wtc93o,2026-01-10 17:30:00,7h7eg7q7dbwvzww78h9d5eh0h,true,false,true,false,false,GIR,GIR,2l0ldgiwsgb8d6y3z0sfgjzyj,OSA,OSA,450,W 1-0,Míchel Sánchez,31,142.00,28.6%,35.7%,19,17,1,38,79,42.1%,49.6%,59.5%,34,8,50,3,50,5.00,43,1,56.5%,3,6,0,105,184,129,143,65,313,12,1,0,0,33.6%,149,0.65,69.3%,48,29,0,1,342,31.9,19.00,-,31.3%,6.3%,12.5%,61.8%,26.3,33.6%,8,5,1
21,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),1szis91vby48oriy7er25lams,2026-01-04 17:30:00,7h7eg7q7dbwvzww78h9d5eh0h,false,true,true,false,false,GIR,GIR,50x1m4u58lffhq6v6ga1hbxmy,MLL,MLL,181,W 2-1,Míchel Sánchez,27,154.00,40.6%,50.0%,14,28,2,40,61,45.5%,55.4%,61.9%,30,11,48,2,48,5.00,54,0,50.7%,4,4,0,75,146,136,132,75,282,9,1,0,1,33.6%,159,1.51,52.7%,31,18,2,2,344,35.0,16.00,-,23.5%,5.9%,29.4%,67.2%,23.6,33.6%,9,11,2
22,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),1o35rsofsxiepozlbmke0wduc,2025-12-21 13:00:00,7h7eg7q7dbwvzww78h9d5eh0h,true,false,false,true,false,GIR,GIR,4ku8o6uf87yd8iecdalipo6wd,ATM,ATM,175,L 0-3,Míchel Sánchez,28,168.00,30.6%,41.7%,15,18,5,62,101,49.0%,52.6%,54.7%,36,16,68,3,68,6.00,73,0,53.4%,12,7,0,102,158,148,120,84,306,6,0,0,0,26.9%,140,1.10,62.0%,26,32,3,2,405,33.4,24.00,-,14.3%,7.1%,14.3%,14.0%,30.7,26.9%,9,14,2
23,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),1lgsuqoyjxec8b0tdfgdpl15g,2025-12-12 20:00:00,7h7eg7q7dbwvzww78h9d5eh0h,false,true,true,false,false,GIR,GIR,63f5h8t5e9qm1fqmvfkb23ghh,RSO,RSO,188,W 2-1,Míchel Sánchez,22,168.00,34.2%,42.1%,25,28,1,51,89,48.7%,56.6%,55.9%,39,15,71,1,71,8.00,65,1,55.0%,9,4,0,105,171,133,131,68,304,4,2,0,0,30.1%,168,1.44,54.4%,25,28,2,1,471,35.5,31.00,-,22.6%,9.7%,6.5%,21.5%,25.5,30.1%,14,11,1
